track-ID,album-ID,artist-ID,Nombre,Album,Artista,Rating
213573882,43750679,48705559,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd feat. Ariana Grande,100
213945984,43823691,1039,Higher Power,Higher Power - Single,Coldplay,100
212959728,43574108,32153100,deja vu,SOUR,Olivia Rodrigo,100
212006855,43246964,48338126,Peaches,Justice,Justin Bieber feat. Daniel Caesar & Giveon,100
211026310,42925518,48153589,Leave The Door Open,Leave The Door Open - Single,Bruno Mars feat. Anderson .Paak & Silk Sonic,100
213940454,43822550,27840,Beautiful Mistakes,JORDI,Maroon 5,100
215220071,44165592,38533848,Seeing Green,Beam Me Up Scotty,Nicki Minaj feat. Drake & Lil Wayne,99
194169153,37216011,13937035,Save Your Tears,After Hours,The Weeknd,99
209048295,42221901,47747903,Rasputin,Rasputin,Majestic feat. Boney M.,98
212080036,43269674,36235669,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,98
194169151,37216011,13937035,Blinding Lights,After Hours,The Weeknd,97
212968493,43576410,48537927,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA) - Single,Doja Cat feat. SZA,97
215217331,44164786,46360201,Build a Bitch,Build a Bitch - Single,Bella Poarch,95
194285006,37245037,33491593,Break My Heart,Future Nostalgia,Dua Lipa,92
169916267,32390713,37843472,Dance Monkey,Dance Monkey,Tones and I,90
146128327,28220887,13895270,Believer,Evolve,Imagine Dragons,89
89745660,21232073,1109,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,89
215778096,43575869,13827100,Saturday,Scaled And Icy,twenty one pilots,88
205413249,40933776,28293695,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,86
189626474,36101498,24505463,Golden,Fine Line,Harry Styles,85
181998471,34433043,28444515,Circles,Hollywood's Bleeding,Post Malone,85
178287907,33739322,31558686,Ride It,Ride It,Regard,83
84288646,20892183,626,You Shook Me All Night Long,Back In Black,AC/DC,82
213579977,43752215,48707522,Botella Tras Botella,Botella Tras Botella - Single,Gera MX feat. Christian Nodal,82
18996915,14278344,33492237,Locked Out Of Heaven,Unorthodox Jukebox,Bruno Mars,82
